Dataset,Method,Trustworthiness,Continuity,Spearman r,Recon MSE,Fit time (s)
Swiss Roll,PCA,0.9664,0.3348,0.863,,0.023
Swiss Roll,Isomap,0.9997,0.8651,0.3574,,1.93
Swiss Roll,LLE,0.9977,0.6895,0.1818,,0.119
Swiss Roll,LLE Modified,0.9969,0.563,0.4355,,0.278
Swiss Roll,Spectral,0.8934,0.2693,0.351,,0.193
Swiss Roll,UMAP,0.9991,0.7507,0.3573,,11.674
Swiss Roll,Autoencoder,0.9829,0.5257,0.4782,1.996,
S-Curve,PCA,0.9287,0.205,0.9646,,0.002
S-Curve,Isomap,0.9986,0.7131,0.8943,,1.953
S-Curve,LLE,0.9829,0.4513,0.6901,,0.118
S-Curve,LLE Modified,0.9361,0.1992,0.6766,,0.273
S-Curve,Spectral,0.9394,0.2289,0.6721,,0.166
S-Curve,UMAP,0.9986,0.7049,0.8399,,5.161
S-Curve,Autoencoder,0.9878,0.5274,0.6235,0.0221,
Torus,PCA,0.971,0.4838,0.9954,,0.001
Torus,Isomap,0.9713,0.508,0.9872,,2.08
Torus,LLE,0.964,0.4448,0.8619,,0.146
Torus,LLE Modified,0.9704,0.4193,0.967,,0.381
Torus,Spectral,0.9722,0.388,0.9332,,0.142
Torus,UMAP,0.9986,0.7343,0.9485,,4.779
Torus,Autoencoder,0.9698,0.4589,0.5676,0.16,
Mobius Strip,PCA,0.9846,0.4972,0.9944,,0.001
Mobius Strip,Isomap,0.99,0.5164,0.979,,2.075
Mobius Strip,LLE,0.986,0.529,0.9157,,0.177
Mobius Strip,LLE Modified,0.9878,0.4101,0.9477,,0.335
Mobius Strip,Spectral,0.98,0.3547,0.9282,,0.125
Mobius Strip,UMAP,0.9968,0.6286,0.9563,,4.834
Mobius Strip,Autoencoder,0.985,0.3685,0.4571,0.0067,
